RunNum   B         HV       V_LED   Theta   Gain      Amp      time_res      pos_res
3000     0.002     2650     3.5     0     975377     1.78747     2727.98     83.3224
3001     0.002     2700     3.5     0     1.23325e+06     2.03991     489.716     38.9445
3002     0.002     2750     3.5     0     917285     2.80032     366.717     31.9121
3003     0.002     2800     3.5     0     2.3092e+06     4.40964     301.444     22.3296
3004     0.002     2850     3.5     0     4.10506e+06     7.12801     291.667     16.6889
3005     0.002     2900     3.5     0     7.06506e+06     11.539     287.213     12.0083
3006     0.002     2950     3.5     0     1.16479e+07     18.1499     311.249     9.14897
3007     0.002     3000     3.5     0     1.76202e+07     26.8323     301.559     6.71402
3008     0.002     3050     3.5     0     2.53693e+07     37.8097     306.101     5.3757
3009     0.002     3100     3.5     0     3.05845e+07     45.2462     296.887     4.49816
3010     0.125     2650     3.5     0     1.03989e+06     1.75123     2567.09     97.8974
3011     0.125     2700     3.5     0     1.09372e+06     2.01769     608.603     50.7495
3012     0.125     2750     3.5     0     871713     2.81106     386.652     29.1738
3013     0.125     2800     3.5     0     2.3178e+06     4.49588     334.659     21.4001
3014     0.125     2850     3.5     0     4.37906e+06     7.45333     329.578     16.2317
3015     0.125     2900     3.5     0     7.34235e+06     11.824     321.932     11.3483
3016     0.125     2950     3.5     0     1.18278e+07     18.2944     310.642     8.43225
3017     0.125     3000     3.5     0     1.90338e+07     28.5931     320.049     6.79861
3018     0.125     3050     3.5     0     2.72923e+07     40.0653     325.031     5.48611
3019     0.125     3100     3.5     0     3.57148e+07     52.1158     302.239     4.73792
3020     0.25     2650     3.5     0     0     0     0     0
3021     0.25     2700     3.5     0     1.12148e+06     1.83522     1031.51     83.0907
3022     0.25     2750     3.5     0     1.07145e+06     2.19968     488.063     22.5257
3023     0.25     2800     3.5     0     1.28364e+06     3.25618     389.533     21.5211
3024     0.25     2850     3.5     0     2.87142e+06     5.35337     337.787     17.937
3025     0.25     2900     3.5     0     5.18765e+06     8.73956     317.569     13.1031
3026     0.25     2950     3.5     0     8.68347e+06     13.8242     324.024     9.48412
3027     0.25     3000     3.5     0     1.4057e+07     21.6053     327.909     7.45856
3028     0.25     3050     3.5     0     2.18787e+07     32.798     323.411     6.02879
3029     0.25     3100     3.5     0     3.20672e+07     46.8978     313.569     4.70939
3030     0.375     2650     3.5     0     0     0     0     0
3031     0.375     2700     3.5     0     0     0     0     0
3032     0.375     2750     3.5     0     1.08359e+06     1.84371     1994.07     72.2698
3033     0.375     2800     3.5     0     983058     2.18613     505.808     24.5565
3034     0.375     2850     3.5     0     1.23939e+06     3.29945     381.068     24.0441
3035     0.375     2900     3.5     0     2.8712e+06     5.37413     342.705     16.8755
3036     0.375     2950     3.5     0     5.1124e+06     8.72473     318.422     12.6829
3037     0.375     3000     3.5     0     8.91782e+06     14.2522     322.117     9.51344
3038     0.375     3050     3.5     0     1.41484e+07     21.7674     316.992     7.41808
3039     0.375     3100     3.5     0     2.20928e+07     33.02     316.61     5.80977
3040     0.5     2650     3.5     0     0     0     0     0
3041     0.5     2700     3.5     0     0     0     0     0
3042     0.5     2750     3.5     0     0     0     0     0
3043     0.5     2800     3.5     0     0     0     0     0
3044     0.5     2850     3.5     0     1.14237e+06     1.98886     551.061     20.4141
3045     0.5     2900     3.5     0     887197     2.69415     422.732     23.516
3046     0.5     2950     3.5     0     2.17739e+06     4.48338     348.174     18.4442
3047     0.5     3000     3.5     0     4.21137e+06     7.41678     331.249     14.2436
3048     0.5     3050     3.5     0     7.27435e+06     11.9887     329.145     10.387
3049     0.5     3100     3.5     0     1.19738e+07     18.7458     307.074     8.09264
3050     0.625     2650     3.5     0     0     0     0     0
3051     0.625     2700     3.5     0     0     0     0     0
3052     0.625     2750     3.5     0     0     0     0     0
3053     0.625     2800     3.5     0     0     0     0     0
3054     0.625     2850     3.5     0     0     0     0     0
3055     0.625     2900     3.5     0     1.08832e+06     1.8855     841.475     71.2488
3056     0.625     2950     3.5     0     823127     2.34162     472.845     22.0022
3057     0.625     3000     3.5     0     1.56573e+06     3.69265     375.845     19.0257
3058     0.625     3050     3.5     0     3.36621e+06     6.19612     342.903     15.5665
3059     0.625     3100     3.5     0     5.92027e+06     10.0405     321.69     11.3926
3060     0.75     2650     3.5     0     0     0     0     0
3061     0.75     2700     3.5     0     0     0     0     0
3062     0.75     2750     3.5     0     0     0     0     0
3063     0.75     2800     3.5     0     0     0     0     0
3064     0.75     2850     3.5     0     0     0     0     0
3065     0.75     2900     3.5     0     0     0     0     0
3066     0.75     2950     3.5     0     0     0     0     0
3067     0.75     3000     3.5     0     1.09975e+06     1.91629     595.08     17.4485
3068     0.75     3050     3.5     0     797303     2.4975     462.314     21.3169
3069     0.75     3100     3.5     0     1.88043e+06     4.08982     363.17     18.5174
3070     0.875     2650     3.5     0     0     0     0     0
3071     0.875     2700     3.5     0     0     0     0     0
3072     0.875     2750     3.5     0     0     0     0     0
3073     0.875     2800     3.5     0     0     0     0     0
3074     0.875     2850     3.5     0     0     0     0     0
3075     0.875     2900     3.5     0     0     0     0     0
3076     0.875     2950     3.5     0     0     0     0     0
3077     0.875     3000     3.5     0     0     0     0     0
3078     0.875     3050     3.5     0     0     0     0     0
3079     0.875     3100     3.5     0     1.09761e+06     1.9215     672.341     20.1623
3080     1     2850     3.5     0     0     0     0     0
3081     1     2900     3.5     0     0     0     0     0
3082     1     2950     3.5     0     0     0     0     0
3083     1     3000     3.5     0     0     0     0     0
3084     1     3050     3.5     0     0     0     0     0
3085     1     3100     3.5     0     0     0     0     0
3090     1.125     2850     3.5     0     0     0     0     0
3091     1.125     2900     3.5     0     0     0     0     0
3092     1.125     2950     3.5     0     0     0     0     0
3093     1.125     3000     3.5     0     0     0     0     0
3094     1.125     3050     3.5     0     0     0     0     0
3095     1.125     3100     3.5     0     0     0     0     0
