RunNum   B         HV       V_LED   Theta   Gain      Amp      time_res      pos_res
2200     2500     3000     3.5     -90     0     0     0     0
2201     2500     3000     3.5     -60     0     0     0     0
2202     2500     3000     3.5     -45     0     0     0     0
2203     2500     3000     3.5     -30     840343     2.25521     543.964     14.023
2204     2500     3000     3.5     -20     2.75956e+06     5.50858     401.677     12.1176
2205     2500     3000     3.5     -15     5.31381e+06     9.4571     359.899     9.46483
2206     2500     3000     3.5     -10     6.74469e+06     11.7009     349.854     8.71574
2207     2500     3000     3.5     -5     6.35513e+06     11.2275     351.675     8.91382
2208     2500     3000     3.5     0     6.77814e+06     11.8617     342.574     8.93708
2209     2500     3000     3.5     5     1.70132e+07     25.665     307.783     6.83497
2210     2500     3000     3.5     10     1.70514e+07     25.8085     309.156     6.62581
2211     2500     3000     3.5     15     1.44921e+07     22.0703     319.194     7.04818
2212     2500     3000     3.5     20     9.32213e+06     14.6554     329.004     9.26233
2213     2500     3000     3.5     30     0     0     0     0
2214     2500     3000     3.5     45     0     0     0     0
2215     2500     3000     3.5     60     0     0     0     0
2216     2500     3000     3.5     90     0     0     0     0
4000     5000     3000     3.5     -90     0     0     0     0
4001     5000     3000     3.5     -60     0     0     0     0
4002     5000     3000     3.5     -45     0     0     0     0
4003     5000     3000     3.5     -30     0     0     0     0
4004     5000     3000     3.5     -20     947296     1.95031     788.699     63.7608
4005     5000     3000     3.5     -15     1.29576e+06     3.33431     403.14     18.1444
4006     5000     3000     3.5     -10     2.81363e+06     5.43125     339.949     15.5831
4007     5000     3000     3.5     -5     3.00136e+06     5.67259     333.359     15.1228
4008     5000     3000     3.5     0     4.19077e+06     7.41927     329.306     13.328
4009     5000     3000     3.5     5     4.61117e+06     8.04456     320.182     14.1021
4010     5000     3000     3.5     10     2.55384e+06     5.111     344.748     15.3421
4011     5000     3000     3.5     15     1.13298e+06     3.22467     373.89     18.9796
4012     5000     3000     3.5     20     874645     1.84132     2490.84     78.884
4013     5000     3000     3.5     30     0     0     0     0
4014     5000     3000     3.5     45     0     0     0     0
4015     5000     3000     3.5     60     0     0     0     0
4016     5000     3000     3.5     90     0     0     0     0
